Scan Index,Status,Wavelength,Intensity
29760355,00004,766.7034817,0.580
29760356,00004,766.7034799,0.580
29760357,00004,766.7034790,0.580
29760358,00004,766.7034805,0.580
29760359,00004,766.7034782,0.580
29760360,00004,766.7034781,0.580
29760361,00004,766.7034789,0.580
29760362,00004,766.7034819,0.580
29760363,00004,766.7034798,0.580
29760364,00004,766.7034783,0.580
29760365,00004,766.7034795,0.580
29760366,00004,766.7034813,0.580
29760367,00004,766.7034791,0.580
